match	sentence	collection	author	title	textClass	bibl	date
ablegte	Die beiden Reisenden stiegen im Anhaltischen Hofe ab , wo der Administrator unter Pfeifen und Singen , denn Pöppings Zuspruch hatte ihn vollkommen beruhigt , seine Livree ablegte und sich fürstlich herrichtete .	kern	Huch, Ricarda	Der große Krieg in Deutschland	Belletristik::Gebrauchsliteratur	Huch, Ricarda: Der Dreißigjährige Krieg, Wiesbaden: Insel-Verl. 1958 [1914], S. #page#	1914-12-31
stimme	Ich stimme da vollkommen mit Herrn v. Pappenheim überein , den ich bei geeigneter Gelegenheit daran erinnern werde , daß er gesagt hat , wir müßten im preußischen Landtage stets in erster Linie an Preußen denken .	kern	unknown	Landtagsverhandlungen.	Zeitung::Morgen-Ausgabe	Vossische Zeitung (Morgen-Ausgabe), 04.03.1911	1911-03-04
kommen	Bloß richtig kommen muß man , das ist der Witz !	kern	Buchheim, Lothar-Günter	Das Boot	Belletristik::Roman	Buchheim, Lothar-Günter: Das Boot, München: Piper 1973, S. #page#	1973-12-31
anvertraut	Gar nicht begreifen konnte ich es , daß meine Mutter traurig aussah und so ernst mit meinem Vater sprach , statt sich zu freuen , so unbändig zu freuen , wie ich es tat , wenn ich auch vorläufig meine Freude nur meinem schwarzen Freunde anvertraut hatte .	kern	Liliencron, Adda Freifrau von	Krieg und Frieden	Gebrauchsliteratur::Autobiographien	Liliencron, Adda Freifrau von: Krieg und Frieden, Erinnerungen aus dem Leben einer Offiziersfrau. In: Simons, Oliver (Hg.) Deutsche Autobiographien 1690-1930, Berlin: Directmedia Publ. 2004 [1912], S. #page#	1912-12-31
heiraten	Es fehlte nur noch , daß er behauptet , er wolle lediglich heiraten , damit das Kind endlich wieder eine Mutter hat ! )	kern	Kästner, Erich	Das doppelte Lottchen	Belletristik::Kinderliteratur	Kästner, Erich: Das doppelte Lottchen, Hamburg: Dressler 1996 [1949], S. #page#	1949-12-31
begann	Er begann stets zu brüllen , sobald sie das Zimmer verließ .	kern	Morgner, Irmtraud	Leben und Abenteuer der Trobadora Beatriz nach Zeugnissen ihrer Spielfrau Laura	Belletristik	Morgner, Irmtraud: Leben und Abenteuer der Trobadora Beatriz nach Zeugnissen ihrer Spielfrau Laura, Berlin: Aufbau-Verl. 1974, S. #page#	1974-12-31
verfolgen	Die Versuche der Regierung der Bundesrepublik Deutschland , in der Erklärung vom 6. Dezember 1963 ( siehe 10952 E , veröffentlicht am 10. Dezember ) , die von westdeutschen Firmen getesteten Raketen als Forschungs- oder meteorologische Raketen darzustellen , stehen in auffallendem Widerspruch zu den Angaben jener , die diese Raketen entwerfen und herstellen und können nur einen Zweck verfolgen -- die Aktivität der Munitionsfabriken des Landes zu bemanteln und zu ermutigen .	kern	unknown	UdSSR protestiert gegen angebliche Ankurbelung der Produktion von Raketenwaffen in der BRD; Rückweisung durch BRD; Auflösung der Luftrüstungs-AG	Zeitung::SOWJETUNION. DEUTSCHLAND (WEST-).	Archiv der Gegenwart, 2001 [1964]	1964-02-07
konferierte	9. Von Jerusalem aus flog SHULTZ nach Amman , wo er mit König HUSSEIN von Jordanien eine Stunde lang konferierte .	kern	unknown	Auslandsreise von George Shultz	Zeitung::VEREINIGTE STAATEN.	Archiv der Gegenwart, 2001 [1983]	1983-07-07
kostete	1903 kostete ein Gramm Radium schon 24000 M. , 1904 kletterte es auf 93 000 , 1905 auf 150000 M.	kern	Rhein, Eduard	Du und die Elektrizität	Gebrauchsliteratur	Rhein, Eduard: Du und die Elektrizität, Berlin: Ullstein 1956 [1940], S. #page#	1940-12-31
gesehen	Für Dienstleistungen wurden entsprechend den Ergebnissen des vergangenen Jahres angemessene Beträge vor- F gesehen , und zwar für bulgarische Dienstleistungen 1,5 Mill. DM , für deutsche Dienstleistungen 3,65 Mill. DM .	kern	unknown	Protokoll über den Warenverkehr	Zeitung::DEUTSCHLAND (WEST-). BULGARIEN.	Archiv der Gegenwart, 2001 [1958]	1958-10-04
erkennen	Die Wahrheiten müssen Akrobaten werden , damit wir sie erkennen .	kern	Tucholsky, Kurt:Peter Panter	Traktat über den Hund, sowie über Lerm und Geräusch	Zeitung	Tucholsky, Kurt: Traktat über den Hund, sowie über Lerm und Geräusch. In: ders., Kurt Tucholsky, Werke - Briefe - Materialien, Berlin: Directmedia Publ. 2000 [1927], S. #page#	1927-10-04
setzen	"Der Papst wandte sich "" an diejenigen , die ihre ganze Hoffnung in die Versprechungen einer Lehre und in die Führer setzen , die ausdrücklich den Materialismus und den Atheismus bekennen . Pius XII. sprach sodann den Wunsch aus , die Gesellschaft der Völker möchte zu den Plänen Gottes zurückkehren , nach denen alle Völker eine große Familie im Frieden und in der Zusammenarbeit , in gegenseitiger Hilfe und gleichmäßig gerechter Verteilung der Güter bildeten , die Gott den Menschen anvertraute ."	kern	unknown	Außenpolitik.	Zeitung::VATIKAN. VEREINIGTE STAATEN.	Archiv der Gegenwart, 2001 [1949]	1949-12-23
gespuckt	""" In die Hände gespuckt und weiter ! "" sagte Unteroffizier Urbas und fügte hinzu :"	kern	Plievier, Theodor	Stalingrad	Belletristik::Roman	Plievier, Theodor: Stalingrad, München u. a.: Desch 1973 [1946], S. #page#	1946-12-31
polierten	Rote Farbe wurde auf polierten Steinplatten zermahlen .	kern	unknown	Lexikon der Kunst - D	Wissenschaft	o. A.: Lexikon der Kunst - D. In: Olbrich, Harald (Hg.), Lexikon der Kunst, Berlin: Directmedia Publ. 2001 [1989], S. #page#	1989-12-31
erregt	"In diesen Tagen , da Wilson nach Abbruch der diplomatischen Beziehungen zu Deutschland mit sich zu Rate geht , ob er seiner Neigung , uns den Krieg zu erklären - natürlich nur um der Menschlichkeit willen - folgen soll , erregt ein kleines Büchlein mit dem Titel "" Problems about war ."	kern	unknown		Zeitung::Abend-Ausgabe	Vossische Zeitung (Abend-Ausgabe), 15.03.1917	1917-03-15
darstellt	Wie das negative Zeitalter der bürgerlichen Gesellschaft hinter sich eine positive Epoche weiß , deren Zersetzung es darstellt , so weiß es eine positive Ordnung vor sich .	kern	Freyer, Hans	Soziologie als Wirklichkeitswissenschaft	Wissenschaft::Soziologie	Freyer, Hans: Soziologie als Wirklichkeitswissenschaft, Leipzig u. a.: B.G. Teubner 1930, S. #page#	1930-12-31
versuchen	Die Dunklen versuchen Arra	kern	Blunck, Hans Friedrich	Sage vom Reich, Band 1	Belletristik	Blunck, Hans Friedrich: Sage vom Reich I, Hamburg: Hanseatische Verlagsanstalt 1941/42, S. #page#	1941-12-31
geißelte	"Unter dem Titel Aus Berliner Soubrettenschulen "" veröffentlichte das Blatt am 7. Juli 1909 einen längeren Artikel , der die in manchen Soubrettenschulen angeblich vorhandenen Uebelstände geißelte und auch den Privatkläger heftig angriff ."	kern	unknown	"""Soubrettenmacher""."	Zeitung::Morgen-Ausgabe	Berliner Tageblatt (Morgen-Ausgabe), 03.03.1910	1910-03-03
gegründet	15 Die auf hochpreisige bibliophile Reprints spezialisierte » Edition Leipzig « ist ausdrücklich zu diesem Zweck gegründet worden .	kern	Wittmann, Reinhard	Geschichte des deutschen Buchhandels	Wissenschaft::Gebrauchsliteratur	Wittmann, Reinhard: Geschichte des deutschen Buchhandels. In: Lehmstedt, Mark (Hg.) Geschichte des deutschen Buchwesens, Berlin: Directmedia Publ. 2000 [1991], S. #page#	1991-12-31
gab	Die Abteilung Ernährung und Landwirtschaft der Militärregierung gab bekannt :	kern	unknown	Anleihe-Ermächtigung für die Länder	Zeitung::Politik	Süddeutsche Zeitung, 1995 [1945]	1945-12-24
kommt	Nun ist nichts Alarmierendes daran , daß es zwischen unseren Bauministern und ihren Landeskonservatoren in mehr oder weniger regelmäßigen Abständen zu heftigen Auseinandersetzungen kommt .	kern	Siedler, Wolf Jobst	Totenklage für Karyatiden	Zeitung	Der Tagesspiegel, 18.08.1962	1962-08-18
voraussehen	Jedenfalls also kann diese Versammlung , so schloß der Ratspräsident , unter erfreulicheren Umständen eröffnet werden , als die tragischen Ereignisse dieses Konfliktes es noch vor kurzem voraussehen ließen .	kern	unknown	Völkerbunds-Versammlung eröffnet	Zeitung::Abend-Ausgabe	Vossische Zeitung (Abend-Ausgabe), 03.03.1932	1932-03-03
unterzeichnen	In Berlin unterzeichnen Vertreter der ausländischen Bankgläubiger Deutschlands ein neues Stillhalteabkommen , das vom 29. 2. 1932 bis 28. 2. 1933 gelten soll .	kern	unknown	Chronik deutscher Zeitgeschichte - 1932	Wissenschaft	o. A.: 1932. In: Overresch, Manfred u. Saal, Friedrich Wilhelm (Hgg.) Deutsche Geschichte von Tag zu Tag 1918-1949, Berlin: Directmedia Publ. 2000 [1982], S. #page#	1982-12-31
gehangen	Da hätte ihn Entsetzen erfaßt , und er hätte so gezittert , daß er sich kaum an den Zweigen des Baumes hätte halten können : die ganze Kirche sei voll Blut gestanden , das sei alles des Heilands Blut gewesen ; unter dem Gewölbe habe sein Leib gehangen , und aus den tiefen Furchen seines Gesichtes sei Blut herabgeronnen , und sein Mund und seine Augen wären wie Brunnenröhren gewesen , aus denen das Blut dick hervorgeschossen sei .	kern	Huch, Ricarda	Der große Krieg in Deutschland	Belletristik::Gebrauchsliteratur	Huch, Ricarda: Der Dreißigjährige Krieg, Wiesbaden: Insel-Verl. 1958 [1914], S. #page#	1914-12-31
aufschrie	Der Melkerbrigadier drückte mir die Hand , daß ich leise aufschrie , und bedankte sich auch .	kern	Holtz-Baumert, Gerhard	Alfons Zitterbacke	Belletristik::Kinderliteratur	Holtz-Baumert, Gerhard: Alfons Zitterbacke, Berlin: Kinderbuchverlag 1981 [1958], S. #page#	1958-12-31
angewachsen	$ erreicht hatte , nachdem es zwischen 1957 und 1961 im Jahresdurchschnitt auf 1,5 Mrd. $ angewachsen war , dehnte sich im Jahr 1964 auf 220 Mill .	kern	unknown	Jahresbericht 1964	Zeitung::GATT.	Archiv der Gegenwart, 2001 [1965]	1965-10-29
erwiderte	» Es ist wahr « , erwiderte Angelus , ohne zu sehen , bist du gegangen , ohne zu wissen , hast du gehandelt , keinem hast du vertrauen dürfen . «	kern	Kurt Tucholsky:Peter Panter	Jakob Wassermann und sein Werk	Zeitung	Tucholsky, Kurt: Jakob Wassermann und sein Werk. In: Kurt Tucholsky, Werke - Briefe - Materialien, Berlin: Directmedia Publ. 2000 [1924]	1924-09-18
verringern	Dazwischen klägliche Versuche die Briefschulden zu verringern .	kern	Klemperer, Victor	[Tagebuch] 1946	Gebrauchsliteratur::Belletristik	Klemperer, Victor: [Tagebuch] 1946. In: ders., So sitze ich denn zwischen allen Stühlen, Berlin: Aufbau-Verl. 1999 [1946], S. #page#	1946-12-31
verlangen	Der Ministerpräsident hat die Absicht erkennen lassen , für den Fall , daß das Parlament das Kabinett nicht unterstützen sollte , dessen Auflösung zu verlangen .	kern	unknown	Regierung, Zusammensetzung.	Zeitung::JAPAN.	Archiv der Gegenwart, 2001 [1934]	1934-07-05
paßte	Aber derjenige , der für sein würdiges Benehmen am besten paßte , der blieb an ihm hängen - der Name Regierungspräsident . «	kern	Krüss, James	Mein Urgroßvater und ich	Belletristik::Kinderliteratur	Krüss, James: Mein Urgroßvater und ich, Hamburg: Oetinger 1959, S. #page#	1959-12-31
zugelassen	Als Gruß ist nur der vor 1933 übliche militärische Gruß zugelassen .	kern	unknown	Ehrenbezeigung ist Pflicht	Zeitung	Frankfurter Presse, 31.05.1945	1945-05-31
erklären	Daß die Rechtsprechung diese Täterschaft vorläufig nur erst bei Funktionären der kommunistischen Organisation unterstellt , ist im Grunde unlogisch und beweist lediglich eine gewisse Scheu vor der Konsequenz , alle Anhänger einer Parteigesinnung für strafbar zu erklären .	kern	Heine, Wolfgang	Antwort an Kahl	Zeitung::Morgen-Ausgabe	Vossische Zeitung (Morgen-Ausgabe), 01.03.1927	1927-03-01
verzichten	Von den sonstigen Vergnügen wird der Berliner auch auf den Pferderennsport verzichten müssen .	kern	unknown	Maßnahmen in Berlin	Zeitung	Das Reich, 14.02.1943	1943-02-14
reduziert	Vollziehen wir diesen Schritt , dann ist auch das Problem der Klassenkultur , d. h. des Zusammenhanges von Klassenzugehörigkeit und Sozialverhalten insgesamt , auf ein empirisch-psychologisches Problem reduziert .	kern	Dahrendorf, Ralf	Soziale Klassen und Klassenkonflikt in der industriellen Gesellschaft	Wissenschaft	Dahrendorf, Ralf: Soziale Klassen und Klassenkonflikt in der industriellen Gesellschaft, Stuttgart: Enke 1957, S. #page#	1957-12-31
gibt	Die Stadtverwaltung gibt sich der Hoffnung hin , daß diese Bestrebungen nicht durch Maßnahmen der Reichsorganisationen gestört werden .	kern	unknown		Zeitung::Abend-Ausgabe	Vossische Zeitung (Abend-Ausgabe), 12.03.1917	1917-03-12
ausgezogen	Nicht Gold einzuheimsen , nicht Ruhm zu erwerben , sei er ausgezogen , sondern hunderttausenden Geknechteten wollte er Segen und Freiheit und Frieden bringen .	kern	Stucken, Eduard	Die weißen Götter	Belletristik	Stucken, Eduard: Die weißen Götter, Stuttgart: Stuttgarter Hausbücherei [1960] [1919], S. #page#	1919-12-31
merken	Er mußte merken , daß sie ihm von anderem , von ihren eigenen Dingen reden wollte .	kern	Feuchtwanger, Lion	Erfolg	Belletristik::Roman	Feuchtwanger, Lion: Erfolg. In: ders., Gesammelte Werke in Einzelbänden, Bd. 6, Berlin: Aufbau-Verl. 1993 [1930], S. #page#	1930-12-31
gerührt	Visionär ist Delaunay , trotzdem er Plakate malt ( und wer privatim über Rubens so gerührt ist , müßte eigentlich in Delaunay dessen zeitgenössisches Gegenstück erkennen , mit genau demselben Anlaß zum Farbenexperiment ) .	kern	Rubiner, Ludwig	Maler bauen Barrikaden	Belletristik	Rubiner, Ludwig: Maler bauen Barrikaden. In: Deutsche Literatur von Lessing bis Kafka, Berlin: Directmedia Publ. 2000 [1914], S. #page#	1914-12-31
gellt	Alle drei gehen raus ; sie lacht immer noch ausgelassen ; der Schlüssel wird in der Tür umgedreht ; dann gellt das Kreischen und Lachen der Frau wieder hell auf ; die Männerstimmen hallen dazwischen ; der Lärm verklingt langsam nach unten .	kern	Stramm, August	Rudimentär	Belletristik	Stramm, August: Rudimentär. In: Deutsche Literatur von Lessing bis Kafka, Berlin: Directmedia Publ. 2000 [1914], S. #page#	1914-12-31
behalten	Wenn man alles behalten wolle , was man erobert habe , dann dürfe man nicht noch weiter nach dem Süden gehen , sondern bei dem Ziele einhalten , um dessentwillen man den Krieg begonnen habe .	kern	l.	Die Adreßdebatte in der Sobranje.	Zeitung::Morgen-Ausgabe	Berliner Tageblatt (Morgen-Ausgabe), 01.03.1916	1916-03-01
verheißt	Der Mutter-Sohn-Inzest aber , mythisch dunkel vorbereitet und vorbelastet , ist , romantisch gesehen , eine schicksalhafte Verstrickung , die Tragisches als Bestrafung verheißt - analytisch gesehen aber eine psychoneurotisch bedingte Verlängerung des ( wahrscheinlich jedem Menschen inhärenten ) Ödipuskomplexes , und weist auf die Unfähigkeit , ihn in der Latenzzeit abzubauen .	kern	Hildesheimer, Wolfgang	Marbot	Belletristik	Hildesheimer, Wolfgang: Marbot, Frankfurt a. M.: Suhrkamp 1981, S. #page#	1981-12-31
wende	Während der Vorstellung wende deine Aufmerksamkeit der Szene zu ; Plaudern und Lachen ist dann nicht am Platze .	kern	o.A. [Tante Lisbeth]	Anstandsbüchlein für junge Mädchen	Gebrauchsliteratur::Umgangsformen	o. A. [Tante Lisbeth]: Anstandsbüchlein für junge Mädchen. In: Zillig, Werner (Hg.) Gutes Benehmen, Berlin: Directmedia Publ. 2004 [1908], S. #page#	1908-12-31
weiß	Ich weiß nicht warum . «	kern	Nossack, Hans Erich	Nekyia	Belletristik	Nossack, Hans Erich: Nekyia, Frankfurt a. M.: Suhrkamp 1961 [1947], S. #page#	1947-12-31
wandeln	Sie wachsen und wandeln sich mit der Gruppe , deren Ausdruck sie sind .	kern	Elias, Norbert	Über den Prozeß der Zivilisation. Soziogenetische und psychogenetische Untersuchungen	Wissenschaft	Elias, Norbert: Über den Prozeß der Zivilisation - Soziogenetische und psychogenetische Untersuchungen Bd. 1, Frankfurt a. M.: Suhrkamp 1992 [1939], S. #page#	1939-12-31
bekundet	"Mosambik habe sein Interesse bekundet , französische Investoren für die Erforschung der großen Kohle- und "" Ölreserven des Landes zu gewinnen ."	kern	unknown	Machels Europareise	Zeitung::MOSAMBIK.	Archiv der Gegenwart, 2001 [1983]	1983-10-21
enthält	Mann und Weib , Völker und Stände noch ungeteilt in sich enthält .	kern	Taubes, Jacob	Abendländische Eschatologie	Wissenschaft	Taubes, Jacob: Abendländische Eschatologie, München: Matthes und Seitz, 1991 [1947], S. #page#	1947-12-31
